Pedigree size range	(50, 100)	(100, 150)	(150, 200)	(200, 300)	(300, 400)	(400, 500)
Similarity of top 100 samples	0.5081051276451286	0.530564015605147	0.5472368268898189	0.554806378307866	0.5624401001802017	0.5582611656190635
Similarity of top 100 samples	0.5081097528525103	0.5309350064267808	0.5473726334912155	0.5550073380744243	0.5626564505859636	0.5583062650052859
Similarity of top 100 samples	0.5081795528627125	0.5314151005940075	0.5480190105717491	0.5553928932299087	0.5655061940917865	0.5592447503233209
Similarity of top 100 samples	0.5085081287252136	0.531876368581075	0.5480622581925885	0.5565744659710572	0.5660384766132677	0.5593262719204353
Similarity of top 100 samples	0.5085111491438076	0.5319154887367307	0.5480707986764672	0.5571113712260624	0.5669765700644027	0.559439544043032
Similarity of top 100 samples	0.5089902251174911	0.5320761877875141	0.5482786497838791	0.557362320861549	0.5672546771092657	0.5597562803440659
Similarity of top 100 samples	0.5092382207398509	0.5321289860551108	0.5484897836502078	0.5581886378466243	0.5675129386982329	0.5598364929442928
Similarity of top 100 samples	0.5093499363929459	0.5321510066081863	0.5489198590517255	0.5587137953760146	0.5675734039063718	0.5604078803578363
Similarity of top 100 samples	0.5096371643689419	0.5325122152945552	0.5491279922367462	0.5600615950564495	0.5677097788354765	0.5605476747177331
Similarity of top 100 samples	0.5097822128733476	0.5325181628097128	0.5491853519769359	0.5600934200227096	0.5679824591490026	0.5612053740306564
Similarity of top 100 samples	0.5107854409316761	0.5325960262442712	0.549416014447066	0.5602037489625508	0.568084908963205	0.5619486540870922
Similarity of top 100 samples	0.5110919180675211	0.5330714094667556	0.5497698131549923	0.560374349646217	0.5688935590959573	0.5626991982581966
Similarity of top 100 samples	0.5111765465760771	0.5334571002598005	0.5507524759803125	0.561363862233628	0.569165782263862	0.562806260462152
Similarity of top 100 samples	0.5121736830318264	0.5335290673317586	0.5520659213294731	0.5623370805280857	0.5692568409743766	0.5629130534769731
Similarity of top 100 samples	0.5122756589423638	0.5349692780650506	0.5521060190976055	0.5629337626436163	0.570283115008661	0.5635082277550059
Similarity of top 100 samples	0.5123469573410665	0.5350723358804328	0.5524579548878725	0.5630147396806331	0.5703379157438251	0.5636202475991812
Similarity of top 100 samples	0.5126932425616737	0.5352538296793437	0.5532316301488643	0.5634798851378783	0.5705026594450459	0.563640494541263
Similarity of top 100 samples	0.5129628065145073	0.5355590626563818	0.5534175694518035	0.5635561401346312	0.5706030249443228	0.5639758000997914
Similarity of top 100 samples	0.5132844708124688	0.5356451999561491	0.5535596027308729	0.5636728312385846	0.5708568314433085	0.5643337226907523
Similarity of top 100 samples	0.5140068177666295	0.5356503062920833	0.5536307978337479	0.5657868950244243	0.5710388798878261	0.5649805587157666
Similarity of top 100 samples	0.5143395977451166	0.5356586530924166	0.5548576992056405	0.5659019715106015	0.5715947408226574	0.5654483848873877
Similarity of top 100 samples	0.5154215795542995	0.5362864518032981	0.5551662007283268	0.5660861203743051	0.571987558958266	0.5658726075500429
Similarity of top 100 samples	0.5154221532407491	0.5363622618021202	0.5556491706636888	0.5663348515757898	0.5720464424508251	0.566818069502218
Similarity of top 100 samples	0.515690684169339	0.5374529082719617	0.5556836800598597	0.5668942255671192	0.5725416221243464	0.5675517894043973
Similarity of top 100 samples	0.515965015028066	0.5374555901725746	0.5559369479825004	0.5677167467928543	0.5734861906282986	0.5675543218296975
Similarity of top 100 samples	0.5160909384919756	0.5377161767745693	0.5561067205833927	0.5678474927250219	0.573650966602449	0.5678328200101874
Similarity of top 100 samples	0.516212202988251	0.5382702042346497	0.5564650062820073	0.567893405805622	0.5741199215176667	0.5682324455556166
Similarity of top 100 samples	0.5162158165158484	0.5384078959747152	0.5569414766810281	0.5680521624453113	0.5742873400020626	0.5689947569721963
Similarity of top 100 samples	0.5165085666287954	0.5393357272221591	0.5573166753408045	0.5686652463256417	0.5748299209968498	0.5695329191057319
Similarity of top 100 samples	0.5168502332071261	0.5395092636961734	0.5575497904466821	0.5687496841400226	0.5753056996148354	0.5697098732071069
Similarity of top 100 samples	0.5177372267590894	0.5395686754208195	0.5599392605637565	0.5696690548515508	0.5770076082963561	0.5701633094438927
Similarity of top 100 samples	0.5189106373325256	0.5395994634325664	0.5603206542841648	0.5697671400860795	0.5770630931346385	0.5703014831731016
Similarity of top 100 samples	0.5195273271611376	0.5403987010318861	0.560925655635136	0.5699885894399505	0.577067488323662	0.5703716724794927
Similarity of top 100 samples	0.5208198161942774	0.5409055861243233	0.5611720687456712	0.5704133307677324	0.5783763850358528	0.5707860016205737
Similarity of top 100 samples	0.5213316014428446	0.5412792331640756	0.5612533187283919	0.5705948398138989	0.5787296203082195	0.5749868509629396
Similarity of top 100 samples	0.5213511523236236	0.5417307205514641	0.562173369262656	0.5716802576400255	0.5809949211854286	0.5759585411869281
Similarity of top 100 samples	0.5220146440371147	0.5420005939954187	0.5623693288790694	0.5717774699280124	0.5828051302044037	0.5783477422405885
Similarity of top 100 samples	0.5227000660030365	0.5426760628797322	0.5641363664250812	0.5727408908575673	0.5838211728164764	0.5784112932809242
Similarity of top 100 samples	0.5230243861544587	0.5430076263749679	0.5641563816065789	0.5730944187368461	0.584350039804641	0.5790525320634179
Similarity of top 100 samples	0.5233088112021439	0.5433912760565218	0.5645613507479741	0.5734711388872573	0.5846888930662508	0.5793742973151758
Similarity of top 100 samples	0.5234614620926203	0.544229965285105	0.5650949228297225	0.5737195344814912	0.5852947376904449	0.5795544715619718
Similarity of top 100 samples	0.5237963164273052	0.5446812658024128	0.566218887796706	0.575311215966443	0.5855248903858681	0.579911956773348
Similarity of top 100 samples	0.5245855284123566	0.5450620549625204	0.566242571908595	0.5756680787720679	0.5882344469565914	0.580018254738121
Similarity of top 100 samples	0.5251404728022788	0.5455426210930754	0.5677470730983458	0.5763402930628724	0.5895032902457327	0.5809248773391498
Similarity of top 100 samples	0.5257106605177002	0.5462815738637496	0.5679090330875425	0.5774394945997497	0.5895678165998638	0.5815771547434021
Similarity of top 100 samples	0.5259707668398884	0.5468276679888002	0.5685989178740871	0.5775937970903591	0.590244367552905	0.5819395322479417
Similarity of top 100 samples	0.526702352451522	0.5486884620885335	0.5690003443597805	0.577767774987245	0.5905323559368811	0.5825623827670542
Similarity of top 100 samples	0.5290875421672656	0.5491829366033973	0.5701515767251675	0.5782519707301998	0.5919300850169485	0.5842864602339624
Similarity of top 100 samples	0.5293248724293493	0.5496747907189621	0.5702135820588904	0.5788273053777715	0.5950006707525286	0.5862138715962955
Similarity of top 100 samples	0.5299012168215084	0.5500971524031031	0.5707492334309255	0.5794251388498426	0.5974888386873707	0.5864381114159527
Similarity of top 100 samples	0.5311375042757993	0.5501566959377981	0.5716493885598547	0.5801912766483246	0.5987320658467123	0.5895270717832003
Similarity of top 100 samples	0.531373205131	0.5507586367616126	0.5726510054121907	0.5822514077178337	0.5996691444642528	0.5900027637840745
Similarity of top 100 samples	0.5327671351566922	0.5522886011850761	0.5726762844930015	0.5833070256427719	0.6025991616083615	0.5904368997219616
Similarity of top 100 samples	0.534614600238509	0.5525729782284292	0.574067355263402	0.5845388988301571	0.6033473306518542	0.5905610167374891
Similarity of top 100 samples	0.5366050586532184	0.5527047366011347	0.5754272674900058	0.5868002669542767	0.6034692848579352	0.5954550635800713
Similarity of top 100 samples	0.5372577940738522	0.5545085617059508	0.5771265404524047	0.587273977134898	0.6039755884658549	0.5959437568940007
Similarity of top 100 samples	0.5417840891544297	0.5551149598831444	0.5772067112226608	0.5890609273434453	0.6076391321847758	0.5988057825638825
Similarity of top 100 samples	0.542720670742482	0.5551756682472604	0.5780782060400149	0.5901287078758057	0.609587300882853	0.5989596699208614
Similarity of top 100 samples	0.5435685949690711	0.555372315743893	0.5787201227961969	0.5924202561873502	0.6108270081707046	0.5990330245060872
Similarity of top 100 samples	0.5473692964670305	0.5592477025795402	0.5815772365530877	0.5930498235040977	0.6111765429422888	0.6004905114371297
Similarity of top 100 samples	0.547658805509758	0.5597468745925969	0.5844680044206512	0.5981888641711457	0.6115516969195572	0.6006572815957766
Similarity of top 100 samples	0.548481425565053	0.5616522905962213	0.5860221703359936	0.5985418141649845	0.6137502622566936	0.602210897940038
Similarity of top 100 samples	0.5491331959127573	0.5644143091463925	0.5872870496548307	0.6062360342508057	0.6138796053463941	0.6035109060347479
Similarity of top 100 samples	0.5527418571664121	0.5665363296189605	0.5883121478074127	0.6062637677476587	0.6153189057184099	0.6071113101958021
Similarity of top 100 samples	0.5536748007711472	0.5765856950690869	0.5916908599892738	0.6096525453254122	0.6184533223111044	0.6072351809853735
Similarity of top 100 samples	0.5571770291501736	0.5768703257965421	0.5922244703754318	0.6118297282152123	0.6207068201432981	0.6084439459726323
Similarity of top 100 samples	0.5593935148584632	0.579774847867461	0.5931832018456076	0.6134331314935959	0.6212688575464653	0.6101073645522802
Similarity of top 100 samples	0.5621237604384348	0.5798697999150433	0.5950778035563444	0.614199408297877	0.621951068666035	0.6118173476728632
Similarity of top 100 samples	0.5629257640019955	0.581867331496364	0.5963024090712962	0.6146903844595895	0.6252080688730255	0.6229094846949644
Similarity of top 100 samples	0.5677828827922919	0.5853776971088966	0.6050076031946213	0.614828845012533	0.6267873307409497	0.6249558300579161
Similarity of top 100 samples	0.5735914862285076	0.592451056466818	0.6119359193344931	0.6162430406233803	0.6270484041828828	0.6331262316337516
Similarity of top 100 samples	0.5789209205220984	0.6005137914483079	0.6161509047759954	0.6194384328443534	0.6346204575993801	0.6339894385412829
Similarity of top 100 samples	0.5800123663038816	0.603867715149391	0.6228400444181732	0.6227737134773634	0.6434499267761431	0.6453031958779959
Similarity of top 100 samples	0.5818013435775005	0.6196484615963272	0.632942740937646	0.6241296577152391	0.6514194167457716	0.6748820644800835
Similarity of top 100 samples	0.6370435010395674	0.6221302435415277	0.6358116805887677	0.6251859053920195	0.6618499307237093	0.6770171991823997
